source,target
A cake was changed by a girl .,"cake ( x _ 1 ) AND change . theme ( x _ 3 , x _ 1 ) AND change . agent ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
Emma was lended a box by Zoey .,"lend . recipient ( x _ 2 , Emma ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . agent ( x _ 2 , Zoey ) AND box ( x _ 4 )"
Sebastian expected to walk .,"expect . agent ( x _ 1 , Sebastian ) AND expect . xcomp ( x _ 1 , x _ 3 ) AND walk . agent ( x _ 3 , Sebastian )"
A glue was awarded to Liam .,"glue ( x _ 1 ) AND award . theme ( x _ 3 , x _ 1 ) AND award . recipient ( x _ 3 , Liam )"
The brain was adored .,"* brain ( x _ 1 ) ; adore . theme ( x _ 3 , x _ 1 )"
A rose was drawn by Emma .,"rose ( x _ 1 ) AND draw . theme ( x _ 3 , x _ 1 ) AND draw . agent ( x _ 3 , Emma )"
Jacob liked that James loved Liam .,"like . agent ( x _ 1 , Jacob ) AND like . ccomp ( x _ 1 , x _ 4 ) AND love . agent ( x _ 4 , James ) AND love . theme ( x _ 4 , Liam )"
Addison declared that the box was appreciated .,"* box ( x _ 4 ) ; declare . agent ( x _ 1 , Addison ) AND declare . ccomp ( x _ 1 , x _ 6 ) AND appreciate . theme ( x _ 6 , x _ 4 )"
Emma was sent the cake in a car by the boy .,"* cake ( x _ 4 ) ; * boy ( x _ 10 ) ; send . recipient ( x _ 2 , Emma ) AND send . theme ( x _ 2 , x _ 4 ) AND send . agent ( x _ 2 , x _ 10 ) AND cake . nmod . in ( x _ 4 , x _ 7 ) AND car ( x _ 7 )"
A liver was broken by a boy .,"liver ( x _ 1 ) AND break . theme ( x _ 3 , x _ 1 ) AND break . agent ( x _ 3 , x _ 6 ) AND boy ( x _ 6 )"
A cookie was drawn by Nathan .,"cookie ( x _ 1 ) AND draw . theme ( x _ 3 , x _ 1 ) AND draw . agent ( x _ 3 , Nathan )"
Riley rented the girl a box beside a table .,"* girl ( x _ 3 ) ; rent . agent ( x _ 1 , Riley ) AND rent . recipient ( x _ 1 , x _ 3 ) AND rent . theme ( x _ 1 , x _ 5 ) AND box ( x _ 5 ) AND box . nmod . beside ( x _ 5 , x _ 8 ) AND table ( x _ 8 )"
Riley wanted to nap .,"want . agent ( x _ 1 , Riley ) AND want . xcomp ( x _ 1 , x _ 3 ) AND nap . agent ( x _ 3 , Riley )"
The raisin was examined .,"* raisin ( x _ 1 ) ; examine . theme ( x _ 3 , x _ 1 )"
The cookie was sold to a boy by Emma .,"* cookie ( x _ 1 ) ; sell . theme ( x _ 3 , x _ 1 ) AND sell . recipient ( x _ 3 , x _ 6 ) AND sell . agent ( x _ 3 , Emma ) AND boy ( x _ 6 )"
Liam slid a boy .,"slide . agent ( x _ 1 , Liam ) AND slide . theme ( x _ 1 , x _ 3 ) AND boy ( x _ 3 )"
A guy yearned to sleep .,"guy ( x _ 1 ) AND yearn . agent ( x _ 2 , x _ 1 ) AND yearn . xcomp ( x _ 2 , x _ 4 ) AND sleep . agent ( x _ 4 , x _ 1 )"
The sailor was mailed a cake on the stack .,"* sailor ( x _ 1 ) ; * stack ( x _ 8 ) ; mail . recipient ( x _ 3 , x _ 1 ) AND mail . theme ( x _ 3 , x _ 5 ) AND cake ( x _ 5 ) AND cake . nmod . on ( x _ 5 , x _ 8 )"
sketch,"LAMBDA a . LAMBDA b . LAMBDA e . sketch . agent ( e , b ) AND sketch . theme ( e , a )"
A dog liked the cake .,"* cake ( x _ 4 ) ; dog ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 )"
The soldier sold a cake on the stool to a girl .,"* soldier ( x _ 1 ) ; * stool ( x _ 7 ) ; sell . agent ( x _ 2 , x _ 1 ) AND sell . theme ( x _ 2 , x _ 4 ) AND sell . recipient ( x _ 2 , x _ 10 ) AND cake ( x _ 4 ) AND cake . nmod . on ( x _ 4 , x _ 7 ) AND girl ( x _ 10 )"
The boy was given the cookie by a baby .,"* boy ( x _ 1 ) ; * cookie ( x _ 5 ) ; give . recipient ( x _ 3 , x _ 1 ) AND give . theme ( x _ 3 , x _ 5 ) AND give . agent ( x _ 3 , x _ 8 ) AND baby ( x _ 8 )"
The bag was fed to a horse by the girl .,"* bag ( x _ 1 ) ; * girl ( x _ 9 ) ; feed . theme ( x _ 3 , x _ 1 ) AND feed . recipient ( x _ 3 , x _ 6 ) AND feed . agent ( x _ 3 , x _ 9 ) AND horse ( x _ 6 )"
A rose was tossed by Liam .,"rose ( x _ 1 ) AND toss . theme ( x _ 3 , x _ 1 ) AND toss . agent ( x _ 3 , Liam )"
The drink was shortened by the girl .,"* drink ( x _ 1 ) ; * girl ( x _ 6 ) ; shorten . theme ( x _ 3 , x _ 1 ) AND shorten . agent ( x _ 3 , x _ 6 )"
Lily shortened the rose .,"* rose ( x _ 3 ) ; shorten . agent ( x _ 1 , Lily ) AND shorten . theme ( x _ 1 , x _ 3 )"
The king called a bowl .,"* king ( x _ 1 ) ; call . agent ( x _ 2 , x _ 1 ) AND call . theme ( x _ 2 , x _ 4 ) AND bowl ( x _ 4 )"
A boy declared that a basket was painted by the crocodile .,"* crocodile ( x _ 10 ) ; boy ( x _ 1 ) AND declare . agent ( x _ 2 , x _ 1 ) AND declare . ccomp ( x _ 2 , x _ 7 ) AND basket ( x _ 5 ) AND paint . theme ( x _ 7 , x _ 5 ) AND paint . agent ( x _ 7 , x _ 10 )"
The melon was changed by a girl .,"* melon ( x _ 1 ) ; change . theme ( x _ 3 , x _ 1 ) AND change . agent ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
Emma liked that the nail was liked by the pig .,"* nail ( x _ 4 ) ; * pig ( x _ 9 ) ; like . agent ( x _ 1 , Emma ) AND like . ccomp ( x _ 1 , x _ 6 ) AND like . theme ( x _ 6 , x _ 4 ) AND like . agent ( x _ 6 , x _ 9 )"
Emma slid the donut .,"* donut ( x _ 3 ) ; slide . agent ( x _ 1 , Emma ) AND slide . theme ( x _ 1 , x _ 3 )"
The cat helped the chicken on the cookie .,"* cat ( x _ 1 ) ; * chicken ( x _ 4 ) ; * cookie ( x _ 7 ) ; help . agent ( x _ 2 , x _ 1 ) AND help . theme ( x _ 2 , x _ 4 ) AND chicken . nmod . on ( x _ 4 , x _ 7 )"
Liam was lended the cake in the cot by the girl .,"* cake ( x _ 4 ) ; * cot ( x _ 7 ) ; * girl ( x _ 10 ) ; lend . recipient ( x _ 2 , Liam ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . agent ( x _ 2 , x _ 10 ) AND cake . nmod . in ( x _ 4 , x _ 7 )"
A princess rented the girl a balloon on the stool .,"* girl ( x _ 4 ) ; * stool ( x _ 9 ) ; princess ( x _ 1 ) AND rent . agent ( x _ 2 , x _ 1 ) AND rent . recipient ( x _ 2 , x _ 4 ) AND rent . theme ( x _ 2 , x _ 6 ) AND balloon ( x _ 6 ) AND balloon . nmod . on ( x _ 6 , x _ 9 )"
The flag was frozen .,"* flag ( x _ 1 ) ; freeze . theme ( x _ 3 , x _ 1 )"
Emma served a donut on the device to a girl .,"* device ( x _ 6 ) ; serve . agent ( x _ 1 , Emma ) AND serve . theme ( x _ 1 , x _ 3 ) AND serve . recipient ( x _ 1 , x _ 9 ) AND donut ( x _ 3 ) AND donut . nmod . on ( x _ 3 , x _ 6 ) AND girl ( x _ 9 )"
William admired that the cake was painted .,"* cake ( x _ 4 ) ; admire . agent ( x _ 1 , William ) AND admire . ccomp ( x _ 1 , x _ 6 ) AND paint . theme ( x _ 6 , x _ 4 )"
A girl noticed that Emma liked that the crown rolled .,"* crown ( x _ 8 ) ; girl ( x _ 1 ) AND notice . agent ( x _ 2 , x _ 1 ) AND notice . ccomp ( x _ 2 , x _ 5 ) AND like . agent ( x _ 5 , Emma ) AND like . ccomp ( x _ 5 , x _ 9 ) AND roll . theme ( x _ 9 , x _ 8 )"
Alexander rolled a box .,"roll . agent ( x _ 1 , Alexander ) AND roll . theme ( x _ 1 , x _ 3 ) AND box ( x _ 3 )"
The chicken preferred to walk .,"* chicken ( x _ 1 ) ; prefer . agent ( x _ 2 , x _ 1 ) AND prefer . xcomp ( x _ 2 , x _ 4 ) AND walk . agent ( x _ 4 , x _ 1 )"
A girl was brought a cake by a queen .,"girl ( x _ 1 ) AND bring . recipient ( x _ 3 , x _ 1 ) AND bring . theme ( x _ 3 , x _ 5 ) AND bring . agent ( x _ 3 , x _ 8 ) AND cake ( x _ 5 ) AND queen ( x _ 8 )"
Emma loaned Liam a toothbrush in the house .,"* house ( x _ 7 ) ; loan . agent ( x _ 1 , Emma ) AND loan . recipient ( x _ 1 , Liam ) AND loan . theme ( x _ 1 , x _ 4 ) AND toothbrush ( x _ 4 ) AND toothbrush . nmod . in ( x _ 4 , x _ 7 )"
Noah lended a shell in a pit to the girl .,"* girl ( x _ 9 ) ; lend . agent ( x _ 1 , Noah ) AND lend . theme ( x _ 1 , x _ 3 ) AND lend . recipient ( x _ 1 , x _ 9 ) AND shell ( x _ 3 ) AND shell . nmod . in ( x _ 3 , x _ 6 ) AND pit ( x _ 6 )"
Elijah was given the raisin by a pig .,"* raisin ( x _ 4 ) ; give . recipient ( x _ 2 , Elijah ) AND give . theme ( x _ 2 , x _ 4 ) AND give . agent ( x _ 2 , x _ 7 ) AND pig ( x _ 7 )"
A raisin was nursed .,"raisin ( x _ 1 ) AND nurse . theme ( x _ 3 , x _ 1 )"
A writer hoped that the cloud was liked .,"* cloud ( x _ 5 ) ; writer ( x _ 1 ) AND hope . agent ( x _ 2 , x _ 1 ) AND hope . ccomp ( x _ 2 , x _ 7 ) AND like . theme ( x _ 7 , x _ 5 )"
Olivia expected to sneeze .,"expect . agent ( x _ 1 , Olivia ) AND expect . xcomp ( x _ 1 , x _ 3 ) AND sneeze . agent ( x _ 3 , Olivia )"
The cake was given to a governor by Isabella .,"* cake ( x _ 1 ) ; give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , x _ 6 ) AND give . agent ( x _ 3 , Isabella ) AND governor ( x _ 6 )"
The box was rented to a boy by Emma .,"* box ( x _ 1 ) ; rent . theme ( x _ 3 , x _ 1 ) AND rent . recipient ( x _ 3 , x _ 6 ) AND rent . agent ( x _ 3 , Emma ) AND boy ( x _ 6 )"
Emma heard a girl .,"hear . agent ( x _ 1 , Emma ) AND hear . theme ( x _ 1 , x _ 3 ) AND girl ( x _ 3 )"
A strawberry was lended to a dog by Liam .,"strawberry ( x _ 1 ) AND lend . theme ( x _ 3 , x _ 1 ) AND lend . recipient ( x _ 3 , x _ 6 ) AND lend . agent ( x _ 3 , Liam ) AND dog ( x _ 6 )"
A box was missed .,"box ( x _ 1 ) AND miss . theme ( x _ 3 , x _ 1 )"
Chloe liked that Jayden found the girl .,"* girl ( x _ 6 ) ; like . agent ( x _ 1 , Chloe ) AND like . ccomp ( x _ 1 , x _ 4 ) AND find . agent ( x _ 4 , Jayden ) AND find . theme ( x _ 4 , x _ 6 )"
A mouse drew the student beside a chair .,"* student ( x _ 4 ) ; mouse ( x _ 1 ) AND draw . agent ( x _ 2 , x _ 1 ) AND draw . theme ( x _ 2 , x _ 4 ) AND student . nmod . beside ( x _ 4 , x _ 7 ) AND chair ( x _ 7 )"
A girl sold the cake beside a stage to Liam .,"* cake ( x _ 4 ) ; girl ( x _ 1 ) AND sell . agent ( x _ 2 , x _ 1 ) AND sell . theme ( x _ 2 , x _ 4 ) AND sell . recipient ( x _ 2 , Liam ) AND cake . nmod . beside ( x _ 4 , x _ 7 ) AND stage ( x _ 7 )"
Mason inflated the cake in the house .,"* cake ( x _ 3 ) ; * house ( x _ 6 ) ; inflate . agent ( x _ 1 , Mason ) AND inflate . theme ( x _ 1 , x _ 3 ) AND cake . nmod . in ( x _ 3 , x _ 6 )"
A present was painted .,"present ( x _ 1 ) AND paint . theme ( x _ 3 , x _ 1 )"
A girl nursed the boy .,"* boy ( x _ 4 ) ; girl ( x _ 1 ) AND nurse . agent ( x _ 2 , x _ 1 ) AND nurse . theme ( x _ 2 , x _ 4 )"
A sailor napped .,"sailor ( x _ 1 ) AND nap . agent ( x _ 2 , x _ 1 )"
Wyatt liked that the block was helped by Emma .,"* block ( x _ 4 ) ; like . agent ( x _ 1 , Wyatt ) AND like . ccomp ( x _ 1 , x _ 6 ) AND help . theme ( x _ 6 , x _ 4 ) AND help . agent ( x _ 6 , Emma )"
The cake was lended to Camila by Liam .,"* cake ( x _ 1 ) ; lend . theme ( x _ 3 , x _ 1 ) AND lend . recipient ( x _ 3 , Camila ) AND lend . agent ( x _ 3 , Liam )"
The king saw the girl .,"* king ( x _ 1 ) ; * girl ( x _ 4 ) ; see . agent ( x _ 2 , x _ 1 ) AND see . theme ( x _ 2 , x _ 4 )"
Emma rolled the cat .,"* cat ( x _ 3 ) ; roll . agent ( x _ 1 , Emma ) AND roll . theme ( x _ 1 , x _ 3 )"
The cake was dusted by Bella .,"* cake ( x _ 1 ) ; dust . theme ( x _ 3 , x _ 1 ) AND dust . agent ( x _ 3 , Bella )"
Emma was lended the watch by a lion .,"* watch ( x _ 4 ) ; lend . recipient ( x _ 2 , Emma ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . agent ( x _ 2 , x _ 7 ) AND lion ( x _ 7 )"
A girl meant that Mia thought that the present was liked .,"* present ( x _ 8 ) ; girl ( x _ 1 ) AND mean . agent ( x _ 2 , x _ 1 ) AND mean . ccomp ( x _ 2 , x _ 5 ) AND think . agent ( x _ 5 , Mia ) AND think . ccomp ( x _ 5 , x _ 10 ) AND like . theme ( x _ 10 , x _ 8 )"
A duck awarded a girl a cake .,"duck ( x _ 1 ) AND award . agent ( x _ 2 , x _ 1 ) AND award . recipient ( x _ 2 , x _ 4 ) AND award . theme ( x _ 2 , x _ 6 ) AND girl ( x _ 4 ) AND cake ( x _ 6 )"
Mila sold a cat a cookie .,"sell . agent ( x _ 1 , Mila ) AND sell . recipient ( x _ 1 , x _ 3 ) AND sell . theme ( x _ 1 , x _ 5 ) AND cat ( x _ 3 ) AND cookie ( x _ 5 )"
The girl believed that Emma rolled .,"* girl ( x _ 1 ) ; believe . agent ( x _ 2 , x _ 1 ) AND believe . ccomp ( x _ 2 , x _ 5 ) AND roll . theme ( x _ 5 , Emma )"
Gabriel liked that the cake was promised to the boy .,"* cake ( x _ 4 ) ; * boy ( x _ 9 ) ; like . agent ( x _ 1 , Gabriel ) AND like . ccomp ( x _ 1 , x _ 6 ) AND promise . theme ( x _ 6 , x _ 4 ) AND promise . recipient ( x _ 6 , x _ 9 )"
The drink was observed .,"* drink ( x _ 1 ) ; observe . theme ( x _ 3 , x _ 1 )"
A cake was doubled .,"cake ( x _ 1 ) AND double . theme ( x _ 3 , x _ 1 )"
A cake was brought to a girl .,"cake ( x _ 1 ) AND bring . theme ( x _ 3 , x _ 1 ) AND bring . recipient ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
James hoped that a bottle was drawn .,"hope . agent ( x _ 1 , James ) AND hope . ccomp ( x _ 1 , x _ 6 ) AND bottle ( x _ 4 ) AND draw . theme ( x _ 6 , x _ 4 )"
The brain was painted .,"* brain ( x _ 1 ) ; paint . theme ( x _ 3 , x _ 1 )"
Stella enlarged .,"enlarge . theme ( x _ 1 , Stella )"
A child slept .,"child ( x _ 1 ) AND sleep . agent ( x _ 2 , x _ 1 )"
The melon was liked by Emma .,"* melon ( x _ 1 ) ; like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , Emma )"
A hammer was served to the girl .,"* girl ( x _ 6 ) ; hammer ( x _ 1 ) AND serve . theme ( x _ 3 , x _ 1 ) AND serve . recipient ( x _ 3 , x _ 6 )"
The monster froze Liam .,"* monster ( x _ 1 ) ; freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , Liam )"
Gabriel dusted a scientist .,"dust . agent ( x _ 1 , Gabriel ) AND dust . theme ( x _ 1 , x _ 3 ) AND scientist ( x _ 3 )"
A cake was eaten by a boy .,"cake ( x _ 1 ) AND eat . theme ( x _ 3 , x _ 1 ) AND eat . agent ( x _ 3 , x _ 6 ) AND boy ( x _ 6 )"
Alexander liked that a donut slid .,"like . agent ( x _ 1 , Alexander ) AND like . ccomp ( x _ 1 , x _ 5 ) AND donut ( x _ 4 ) AND slide . theme ( x _ 5 , x _ 4 )"
James rolled the box on a table .,"* box ( x _ 3 ) ; roll . agent ( x _ 1 , James ) AND roll . theme ( x _ 1 , x _ 3 ) AND box . nmod . on ( x _ 3 , x _ 6 ) AND table ( x _ 6 )"
A mouse was given a cake on the table by Liam .,"* table ( x _ 8 ) ; mouse ( x _ 1 ) AND give . recipient ( x _ 3 , x _ 1 ) AND give . theme ( x _ 3 , x _ 5 ) AND give . agent ( x _ 3 , Liam ) AND cake ( x _ 5 ) AND cake . nmod . on ( x _ 5 , x _ 8 )"
A duck wanted to run .,"duck ( x _ 1 ) AND want . agent ( x _ 2 , x _ 1 ) AND want . xcomp ( x _ 2 , x _ 4 ) AND run . agent ( x _ 4 , x _ 1 )"
The brain was given to the child by a boy .,"* brain ( x _ 1 ) ; * child ( x _ 6 ) ; give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , x _ 6 ) AND give . agent ( x _ 3 , x _ 9 ) AND boy ( x _ 9 )"
The cookie was passed to the boy by Jaxon .,"* cookie ( x _ 1 ) ; * boy ( x _ 6 ) ; pass . theme ( x _ 3 , x _ 1 ) AND pass . recipient ( x _ 3 , x _ 6 ) AND pass . agent ( x _ 3 , Jaxon )"
The fly wished to cook .,"* fly ( x _ 1 ) ; wish . agent ( x _ 2 , x _ 1 ) AND wish . xcomp ( x _ 2 , x _ 4 ) AND cook . agent ( x _ 4 , x _ 1 )"
The cake was decomposed .,"* cake ( x _ 1 ) ; decompose . theme ( x _ 3 , x _ 1 )"
The cake was examined by Ava .,"* cake ( x _ 1 ) ; examine . theme ( x _ 3 , x _ 1 ) AND examine . agent ( x _ 3 , Ava )"
The bird preferred to walk .,"* bird ( x _ 1 ) ; prefer . agent ( x _ 2 , x _ 1 ) AND prefer . xcomp ( x _ 2 , x _ 4 ) AND walk . agent ( x _ 4 , x _ 1 )"
A scarf was fed to Olivia by a girl .,"scarf ( x _ 1 ) AND feed . theme ( x _ 3 , x _ 1 ) AND feed . recipient ( x _ 3 , Olivia ) AND feed . agent ( x _ 3 , x _ 8 ) AND girl ( x _ 8 )"
Liam examined the doctor beside a TV .,"* doctor ( x _ 3 ) ; examine . agent ( x _ 1 , Liam ) AND examine . theme ( x _ 1 , x _ 3 ) AND doctor . nmod . beside ( x _ 3 , x _ 6 ) AND tv ( x _ 6 )"
Noah ran .,"run . agent ( x _ 1 , Noah )"
A child tolerated the raisin .,"* raisin ( x _ 4 ) ; child ( x _ 1 ) AND tolerate . agent ( x _ 2 , x _ 1 ) AND tolerate . theme ( x _ 2 , x _ 4 )"
A girl was passed the cookie beside the table by the baby .,"* cookie ( x _ 5 ) ; * table ( x _ 8 ) ; * baby ( x _ 11 ) ; girl ( x _ 1 ) AND pass . recipient ( x _ 3 , x _ 1 ) AND pass . theme ( x _ 3 , x _ 5 ) AND pass . agent ( x _ 3 , x _ 11 ) AND cookie . nmod . beside ( x _ 5 , x _ 8 )"
Olivia was fed the box beside the table by Emma .,"* box ( x _ 4 ) ; * table ( x _ 7 ) ; feed . recipient ( x _ 2 , Olivia ) AND feed . theme ( x _ 2 , x _ 4 ) AND feed . agent ( x _ 2 , Emma ) AND box . nmod . beside ( x _ 4 , x _ 7 )"
Emma gave a cookie on a table to the monkey .,"* monkey ( x _ 9 ) ; give . agent ( x _ 1 , Emma ) AND give . theme ( x _ 1 , x _ 3 ) AND give . recipient ( x _ 1 , x _ 9 ) AND cookie ( x _ 3 ) AND cookie . nmod . on ( x _ 3 , x _ 6 ) AND table ( x _ 6 )"
A coin was dusted by Emma .,"coin ( x _ 1 ) AND dust . theme ( x _ 3 , x _ 1 ) AND dust . agent ( x _ 3 , Emma )"
Penelope giggled .,"giggle . agent ( x _ 1 , Penelope )"
The donut was handed to the citizen .,"* donut ( x _ 1 ) ; * citizen ( x _ 6 ) ; hand . theme ( x _ 3 , x _ 1 ) AND hand . recipient ( x _ 3 , x _ 6 )"
A lollipop was observed .,"lollipop ( x _ 1 ) AND observe . theme ( x _ 3 , x _ 1 )"
The duke was lended a ball beside a house .,"* duke ( x _ 1 ) ; lend . recipient ( x _ 3 , x _ 1 ) AND lend . theme ( x _ 3 , x _ 5 ) AND ball ( x _ 5 ) AND ball . nmod . beside ( x _ 5 , x _ 8 ) AND house ( x _ 8 )"
A boy heard a girl in a box .,"boy ( x _ 1 ) AND hear . agent ( x _ 2 , x _ 1 ) AND hear . theme ( x _ 2 , x _ 4 ) AND girl ( x _ 4 ) AND girl . nmod . in ( x _ 4 , x _ 7 ) AND box ( x _ 7 )"
The cat floated a frog .,"* cat ( x _ 1 ) ; float . agent ( x _ 2 , x _ 1 ) AND float . theme ( x _ 2 , x _ 4 ) AND frog ( x _ 4 )"
A can was posted to Emma by the boy .,"* boy ( x _ 8 ) ; can ( x _ 1 ) AND post . theme ( x _ 3 , x _ 1 ) AND post . recipient ( x _ 3 , Emma ) AND post . agent ( x _ 3 , x _ 8 )"
Olivia was lended a cake by Abigail .,"lend . recipient ( x _ 2 , Olivia ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . agent ( x _ 2 , Abigail ) AND cake ( x _ 4 )"
The girl froze a cake on the tree .,"* girl ( x _ 1 ) ; * tree ( x _ 7 ) ; freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod . on ( x _ 4 , x _ 7 )"
A chicken planned to walk .,"chicken ( x _ 1 ) AND plan . agent ( x _ 2 , x _ 1 ) AND plan . xcomp ( x _ 2 , x _ 4 ) AND walk . agent ( x _ 4 , x _ 1 )"
A boy was lended the gumball by the butterfly .,"* gumball ( x _ 5 ) ; * butterfly ( x _ 8 ) ; boy ( x _ 1 ) AND lend . recipient ( x _ 3 , x _ 1 ) AND lend . theme ( x _ 3 , x _ 5 ) AND lend . agent ( x _ 3 , x _ 8 )"
Camila sold the chalk to a cat .,"* chalk ( x _ 3 ) ; sell . agent ( x _ 1 , Camila ) AND sell . theme ( x _ 1 , x _ 3 ) AND sell . recipient ( x _ 1 , x _ 6 ) AND cat ( x _ 6 )"
A cake was held by Emma .,"cake ( x _ 1 ) AND hold . theme ( x _ 3 , x _ 1 ) AND hold . agent ( x _ 3 , Emma )"
Emma was brought the donut by Mila .,"* donut ( x _ 4 ) ; bring . recipient ( x _ 2 , Emma ) AND bring . theme ( x _ 2 , x _ 4 ) AND bring . agent ( x _ 2 , Mila )"
The boy pierced Benjamin .,"* boy ( x _ 1 ) ; pierce . agent ( x _ 2 , x _ 1 ) AND pierce . theme ( x _ 2 , Benjamin )"
A cake was rolled by the baby .,"* baby ( x _ 6 ) ; cake ( x _ 1 ) AND roll . theme ( x _ 3 , x _ 1 ) AND roll . agent ( x _ 3 , x _ 6 )"
Sophia gave a cake to a lawyer .,"give . agent ( x _ 1 , Sophia ) AND give . theme ( x _ 1 , x _ 3 ) AND give . recipient ( x _ 1 , x _ 6 ) AND cake ( x _ 3 ) AND lawyer ( x _ 6 )"
The cat was awarded the pencil .,"* cat ( x _ 1 ) ; * pencil ( x _ 5 ) ; award . recipient ( x _ 3 , x _ 1 ) AND award . theme ( x _ 3 , x _ 5 )"
The girl promised the bear the donut on a stage .,"* girl ( x _ 1 ) ; * bear ( x _ 4 ) ; * donut ( x _ 6 ) ; promise . agent ( x _ 2 , x _ 1 ) AND promise . recipient ( x _ 2 , x _ 4 ) AND promise . theme ( x _ 2 , x _ 6 ) AND donut . nmod . on ( x _ 6 , x _ 9 ) AND stage ( x _ 9 )"
Liam lended a cake to Benjamin .,"lend . agent ( x _ 1 , Liam ) AND lend . theme ( x _ 1 , x _ 3 ) AND lend . recipient ( x _ 1 , Benjamin ) AND cake ( x _ 3 )"
A cat liked that Ava rolled the girl in a room .,"* girl ( x _ 7 ) ; cat ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 5 ) AND roll . agent ( x _ 5 , Ava ) AND roll . theme ( x _ 5 , x _ 7 ) AND girl . nmod . in ( x _ 7 , x _ 10 ) AND room ( x _ 10 )"
The cake was handed to the child .,"* cake ( x _ 1 ) ; * child ( x _ 6 ) ; hand . theme ( x _ 3 , x _ 1 ) AND hand . recipient ( x _ 3 , x _ 6 )"
The donut was shortened by Mia .,"* donut ( x _ 1 ) ; shorten . theme ( x _ 3 , x _ 1 ) AND shorten . agent ( x _ 3 , Mia )"
A cake was broken by a girl .,"cake ( x _ 1 ) AND break . theme ( x _ 3 , x _ 1 ) AND break . agent ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
Olivia burned Benjamin .,"burn . agent ( x _ 1 , Olivia ) AND burn . theme ( x _ 1 , Benjamin )"
Liam wished to hunt .,"wish . agent ( x _ 1 , Liam ) AND wish . xcomp ( x _ 1 , x _ 3 ) AND hunt . agent ( x _ 3 , Liam )"
Liam grew a governor in the house .,"* house ( x _ 6 ) ; grow . agent ( x _ 1 , Liam ) AND grow . theme ( x _ 1 , x _ 3 ) AND governor ( x _ 3 ) AND governor . nmod . in ( x _ 3 , x _ 6 )"
The giraffe sketched a donut beside a table .,"* giraffe ( x _ 1 ) ; sketch . agent ( x _ 2 , x _ 1 ) AND sketch . theme ( x _ 2 , x _ 4 ) AND donut ( x _ 4 ) AND donut . nmod . beside ( x _ 4 , x _ 7 ) AND table ( x _ 7 )"
Noah painted a box on the stage .,"* stage ( x _ 6 ) ; paint . agent ( x _ 1 , Noah ) AND paint . theme ( x _ 1 , x _ 3 ) AND box ( x _ 3 ) AND box . nmod . on ( x _ 3 , x _ 6 )"
The cake was given to a penguin by a boy .,"* cake ( x _ 1 ) ; give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , x _ 6 ) AND give . agent ( x _ 3 , x _ 9 ) AND penguin ( x _ 6 ) AND boy ( x _ 9 )"
Liam was passed a pretzel .,"pass . recipient ( x _ 2 , Liam ) AND pass . theme ( x _ 2 , x _ 4 ) AND pretzel ( x _ 4 )"
The cake was packed by the cat .,"* cake ( x _ 1 ) ; * cat ( x _ 6 ) ; pack . theme ( x _ 3 , x _ 1 ) AND pack . agent ( x _ 3 , x _ 6 )"
The ball rolled .,"* ball ( x _ 1 ) ; roll . theme ( x _ 2 , x _ 1 )"
The gumball was juggled by Emma .,"* gumball ( x _ 1 ) ; juggle . theme ( x _ 3 , x _ 1 ) AND juggle . agent ( x _ 3 , Emma )"
A cat noticed that the friend lended the cookie to a girl .,"* friend ( x _ 5 ) ; * cookie ( x _ 8 ) ; cat ( x _ 1 ) AND notice . agent ( x _ 2 , x _ 1 ) AND notice . ccomp ( x _ 2 , x _ 6 ) AND lend . agent ( x _ 6 , x _ 5 ) AND lend . theme ( x _ 6 , x _ 8 ) AND lend . recipient ( x _ 6 , x _ 11 ) AND girl ( x _ 11 )"
A lion noticed a cake .,"lion ( x _ 1 ) AND notice . agent ( x _ 2 , x _ 1 ) AND notice . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 )"
Charlotte was lended a donut by Liam .,"lend . recipient ( x _ 2 , Charlotte ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . agent ( x _ 2 , Liam ) AND donut ( x _ 4 )"
The girl rolled the writer .,"* girl ( x _ 1 ) ; * writer ( x _ 4 ) ; roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 )"
